date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-05-14,188.15,189.53,187.86,189.01,20778772,44.8881940959311,45.2174298538497,44.819006871441,45.0933700030398,83115088,0.0,1.0
2018-05-15,186.44,187.07,185.1,186.78,23695159,44.4802280480754,44.6305313288644,44.1605353556037,44.5613441043742,94780636,0.0,1.0
2018-05-16,188.18,188.46,186.0,186.07,19183064,44.8953513950163,44.9621528531447,44.3752543281594,44.3919546926915,76732256,0.0,1.0
2018-05-17,186.99,188.91,186.36,188.0,17294029,44.6114451979705,45.0695123394225,44.4611419171816,44.8524076005052,69176116,0.0,1.0
2018-05-18,186.31,187.81,186.13,187.19,18297728,44.449213085373,44.8070780396323,44.4062692908618,44.6591605252051,73190912,0.0,1.0
2018-05-21,187.63,189.27,186.91,188.0,18400787,44.7641342451212,45.1553999284447,44.5923590670767,44.8524076005052,73603148,0.0,1.0
2018-05-22,187.16,188.88,186.78,188.38,15240704,44.6520032261199,45.0623550403373,44.5613441043742,44.9430667222509,60962816,0.0,1.0
2018-05-23,188.36,188.5,185.76,186.35,20058415,44.9382951895274,44.9716959185916,44.3179959354779,44.4587561508199,80233660,0.0,1.0
2018-05-24,188.15,188.84,186.21,188.77,23233975,44.8881940959311,45.0528119748904,44.4253554217557,45.0361116103583,92935900,0.0,1.0
2018-05-25,188.58,189.65,187.65,188.23,17460963,44.9907820494854,45.2460590501904,44.7689057778446,44.9072802268249,69843852,0.0,1.0
2018-05-29,187.9,188.75,186.87,187.6,22514075,44.8285499368879,45.0313400776348,44.5828160016298,44.756976946036,90056300,0.0,1.0
2018-05-30,187.5,188.0,186.78,187.72,18690547,44.7331192824187,44.8524076005052,44.5613441043742,44.7856061423767,74762188,0.0,1.0
2018-05-31,186.87,188.23,186.14,187.22,27482793,44.5828160016298,44.9072802268249,44.4086550572236,44.6663178242903,109931172,0.0,1.0
2018-06-01,190.24,190.26,187.75,187.99,23442510,45.3868192655325,45.3915907982559,44.7927634414619,44.8500218341434,93770040,0.0,1.0
2018-06-04,191.83,193.42,191.35,191.64,26266174,45.7661561170474,46.1454929685623,45.6516393316844,45.7208265561745,105064696,0.0,1.0
2018-06-05,193.31,193.94,192.36,193.07,21565963,46.1192495385833,46.2695528193722,45.892601734219,46.0619911459018,86263852,0.0,1.0
2018-06-06,193.98,194.08,191.92,193.63,20933619,46.2790958848191,46.3029535484364,45.7876280143029,46.1955940621586,83734476,0.0,1.0
2018-06-07,193.46,194.2,192.34,194.14,21347180,46.1550360340092,46.3315827447771,45.8878302014955,46.3172681466068,85388720,0.0,1.0
2018-06-08,191.7,192.0,189.77,191.17,26656799,45.7351411543449,45.8067141451968,45.2746882465312,45.6086955371732,106627196,0.0,1.0
2018-06-11,191.23,191.97,190.21,191.35,18308460,45.6230101353436,45.7995568461116,45.3796619664473,45.6516393316844,73233840,0.0,1.0
2018-06-12,192.28,192.61,191.15,191.39,16911141,45.8735156033252,45.9522458932622,45.6039240044498,45.6611823971313,67644564,0.0,1.0
2018-06-13,190.7,192.88,190.44,192.42,21638393,45.496564518172,46.0166615850289,45.434534592767,45.9069163323894,86553572,0.0,1.0
